demographic,tvd,cluster_0,cluster_1
education_respondent_cs,0.343,NZ: Completed university or polytechnic degree (50%),NZ: Secondary school for up to 3 years (32%)
social_class,0.217,Upper middle class (42%),Working class (40%)
income_scale,0.212,Tenth step{10} (17%),Second step{2} (15%)
religion,0.199,Do not belong to a denomination{No religion} (57%),Other Christian (Jehova withness...){Other Christian} (44%)
age,0.19,56.9 / 59,59.0 / 62
savings,0.165,Save money (54%),Save money (43%)
employment_respondent,0.158,Full time (30 hours a week or more) (46%),Full time (30 hours a week or more) (37%)
household_size,0.144,2.7 / 2,2.5 / 2
townsize,0.139,"100,000-500,000 (23%)","5,000-10,000 (19%)"
region,0.137,NZ: Auckland (27%),NZ: Auckland (24%)
marital_status,0.133,Married (66%),Married (55%)
children,0.064,2 children (34%),2 children (30%)
home_language,0.053,English (97%),English (94%)
sex,0.043,Female (56%),Female (59%)
immigrant,0.042,I am born in this country (76%),I am born in this country (79%)
settlement_type,0.001,Urban (90%),Urban (90%)
