column,informativeness,question,sub_question,response_options,controversial
Q88,0.424,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — The World Health Organisation (WHO)",The World Health Organisation (WHO),"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q76,0.407,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Elections",Elections,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q229,0.404,In your view how often do each of the following things occur in New Zealand's elections? — Election officials are fair,Election officials are fair,"['Very often', 'Fairly often', 'Not often', 'Not at all often', ""Don't know""]",False
Q182,0.401,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Homosexuality",Homosexuality,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', ""Don't know""]",True
Q123,0.399,"What have been the effects of immigration on the development of New Zealand? For each of the following statements, please indicate whether you agree or disagree with it. — Strengthens cultural diversity",Strengthens cultural diversity,"['Disagree', 'Hard to say', 'Agree']",True
Q121,0.389,How would you evaluate the impact of immigrants on the development of New Zealand?,,"['Rather bad', 'Quite bad', 'Neither good nor bad', 'Quite good', 'Very good', ""Don't know""]",True
Q73,0.386,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Parliament",Parliament,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q74,0.386,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — The Public Service",The Public Service,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q251,0.381,"And how democratically is this country being governed today? Again using a scale from 1 to 10, where 1 means that it is ""not at all democratic"" and 10 means that it is ""completely democratic,"" what position would you choose?",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q238,0.381,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? — Having a democratic political system",Having a democratic political system,"['Very good', 'Fairly good', 'Fairly bad', 'Very bad', ""Don't know""]",False
