demographic,tvd,cluster_0,cluster_1,cluster_2
religion,0.344,Do not belong to a denomination{No religion} (46%),Other Christian (Jehova withness...){Other Christian} (51%),Do not belong to a denomination{No religion} (77%)
age,0.338,54.8 / 56,64.8 / 66,51.2 / 51
education_respondent_cs,0.293,NZ: Secondary school for up to 3 years (30%),NZ: Completed university or polytechnic degree (30%),NZ: Completed university or polytechnic degree (59%)
income_scale,0.231,Second step{2} (18%),Fifth step{5} (12%),Tenth step{10} (17%)
social_class,0.229,Working class (45%),Upper middle class (37%),Upper middle class (43%)
employment_respondent,0.22,Full time (30 hours a week or more) (39%),Retired/pensioned (44%),Full time (30 hours a week or more) (48%)
household_size,0.194,2.7 / 2,2.4 / 2,2.8 / 2
marital_status,0.181,Married (49%),Married (70%),Married (59%)
savings,0.18,Save money (39%),Save money (53%),Save money (54%)
children,0.157,2 children (29%),2 children (33%),2 children (34%)
townsize,0.153,"5,000-10,000 (20%)","Under 2,000 (20%)","100,000-500,000 (26%)"
region,0.153,NZ: Auckland (22%),NZ: Auckland (26%),NZ: Auckland (29%)
sex,0.112,Female (66%),Male (51%),Female (61%)
home_language,0.062,English (92%),English (96%),English (98%)
immigrant,0.031,I am born in this country (80%),I am born in this country (76%),I am born in this country (77%)
settlement_type,0.021,Urban (91%),Urban (88%),Urban (91%)
