demographic,value,wvs_pct,n
Age group,65+,39.4,405
Age group,55-64,22.5,231
Age group,45-54,15.9,163
Age group,35-44,10.7,110
Age group,25-34,8.2,84
Age group,16-24,3.4,35
Education (3-level),Higher,57.6,591
Education (3-level),Middle,26.7,274
Education (3-level),Lower,15.7,161
Employment status,Employed full-time,42.8,445
Employment status,Not in the labour force,35.5,369
Employment status,Employed part-time,17.0,177
Employment status,Unemployed,4.6,48
Marital status,Married,60.9,628
Marital status,Never married,13.3,137
Marital status,Living as married,11.3,117
Marital status,Widowed,7.0,72
Marital status,Divorced,4.6,47
Marital status,Separated,3.0,31
NZ citizen,Citizen,92.9,949
NZ citizen,Not a citizen,7.1,72
Occupational group,Group 1,34.2,318
Occupational group,Group 3,16.4,153
Occupational group,Group 6,12.9,120
Occupational group,Group 4,7.2,67
Occupational group,Group 5,7.1,66
Occupational group,Group 2,6.1,57
Occupational group,Group 7,5.6,52
Occupational group,Group 8,4.7,44
Occupational group,Group 10,2.4,22
Occupational group,Group 0,2.3,21
Occupational group,Group 9,1.2,11
Personal income (3-level),Low,67.1,638
Personal income (3-level),Medium,21.1,201
Personal income (3-level),High,11.8,112
Personal income band,"$10,001-$15,000",11.9,113
Personal income band,"$100,001 and over",11.8,112
Personal income band,"$50,001-$70,000",11.4,108
Personal income band,"$25,001-$30,000",10.4,99
Personal income band,"$40,001-$50,000",10.2,97
Personal income band,"$70,001-$100,000",9.8,93
Personal income band,"$20,001-$25,000",9.4,89
Personal income band,"$15,001-$20,000",9.0,86
Personal income band,"$30,001-$40,000",8.9,85
Personal income band,"Up to $10,000",7.3,69
Region (ISO recode),554001.0,25.9,259
Region (ISO recode),554003.0,12.6,126
Region (ISO recode),554015.0,11.8,118
Region (ISO recode),554014.0,9.8,98
Region (ISO recode),554002.0,8.1,81
Region (ISO recode),554010.0,7.1,71
Region (ISO recode),554007.0,5.6,56
Region (ISO recode),554009.0,3.7,37
Region (ISO recode),554005.0,3.4,34
Region (ISO recode),554013.0,2.6,26
Region (ISO recode),554011.0,2.5,25
Region (ISO recode),554012.0,2.3,23
Region (ISO recode),554008.0,2.1,21
Region (ISO recode),554006.0,1.4,14
Region (ISO recode),554004.0,0.8,8
Region (ISO recode),554016.0,0.3,3
Sex,Female,57.4,594
Sex,Male,42.6,440
Subjective social class,Upper middle class,34.4,312
Subjective social class,Lower middle class,32.0,290
Subjective social class,Working class,28.9,262
Subjective social class,Lower class,3.3,30
Subjective social class,Upper class,1.3,12
